BBT314L,1,AIq,R 01:00 PM - 04:10 PM,SAC412,20(20)
BBT314L,2,AIq,R 01:00 PM - 04:10 PM,SAC414,17(20)
BBT315,1,ZAB,MW 09:40 AM - 11:10 AM,SAC405,33(40)
BBT316,1,KNH,MW 02:40 PM - 04:10 PM,SAC404,40(40)
BBT316L,1,ZAB,R 09:40 AM - 12:50 PM,SAC414,20(20)
BBT317,1,Sdl,ST 11:20 AM - 12:50 PM,SAC405,32(40)
BBT318,1,Sdl,ST 09:40 AM - 11:10 AM,SAC405,31(40)
BBT335,1,KRC,MW 08:00 AM - 09:30 AM,SAC403,17(40)
BBT335,1,KRC,MW 08:00 AM - 09:30 AM,SAC403,17(40)
BBT335,1,KRC,MW 08:00 AM - 09:30 AM,SAC403,17(40)
BBT415,1,CAK,MW 11:20 AM - 12:50 PM,SAC406,26(40)
BBT415L,1,KNH,R 09:40 AM - 12:50 PM,SAC412,20(20)
BBT416/MIC311,1,Mqn,MW 02:40 PM - 04:10 PM,LIB603,20(30)
BBT417,1,IJn,ST 08:00 AM - 09:30 AM,SAC406,27(40)
BBT418,1,ZAB,MW 01:00 PM - 02:30 PM,SAC404,16(40)
BBT404/BBT421/MIC403/MIC417,1,KNH,MW 11:20 AM - 12:50 PM,SAC404,24(40)
BBT404/BBT421/MIC403/MIC417,1,KNH,MW 11:20 AM - 12:50 PM,SAC404,24(40)
BBT404/BBT421/MIC403/MIC417,1,KNH,MW 11:20 AM - 12:50 PM,SAC404,24(40)
BBT404/BBT421/MIC403/MIC417,1,KNH,MW 11:20 AM - 12:50 PM,SAC404,24(40)
BBT404/BBT421/MIC403/MIC417,1,KNH,MW 11:20 AM - 12:50 PM,SAC404,24(40)
BBT404/BBT421/MIC403/MIC417,1,KNH,MW 11:20 AM - 12:50 PM,SAC404,24(40)
BBT427,1,IJn,MW 09:40 AM - 11:10 AM,SAC406,32(40)
BBT427,1,IJn,MW 09:40 AM - 11:10 AM,SAC406,32(40)
BBT427,1,IJn,MW 09:40 AM - 11:10 AM,SAC406,32(40)
BBT427,1,IJn,MW 09:40 AM - 11:10 AM,SAC406,32(40)
BBT608,1,Awn,M 06:00 PM - 09:10 PM,SAC406,12(35)
BBT615,1,IqM,T 06:00 PM - 09:10 PM,SAC405,17(35)
BBT622,1,CqA,R 06:00 PM - 09:00 PM,SAC316,9(35)
BBT630,1,MRm4,M 06:00 PM - 09:10 PM,SAC405,23(35)
BBT652,1,APz,F 09:00 AM - 12:00 PM,SAC210,13(35)
BBT659,1,CAK,S 06:00 PM - 09:10 PM,SAC405,11(35)
BBT671,1,MmN1,T 06:00 PM - 09:10 PM,LIB604,13(30)
BBT695,1,HiM,R 06:00 PM - 09:10 PM,SAC304,13(35)
BBT695,1,HiM,R 06:00 PM - 09:10 PM,SAC304,13(35)
BBT695,1,HiM,R 06:00 PM - 09:10 PM,SAC304,13(35)
BBT695,1,HiM,R 06:00 PM - 09:10 PM,SAC304,13(35)
BBT695,1,HiM,R 06:00 PM - 09:10 PM,SAC304,13(35)
BBT695,1,HiM,R 06:00 PM - 09:10 PM,SAC304,13(35)
BBT791,1,Muz,F 09:00 AM - 12:30 PM,NAC512,15(35)
BEN205,1,AdK1,RA 02:40 PM - 04:10 PM,NAC305,40(40)
BEN205,2,AdK1,RA 08:00 AM - 09:30 AM,NAC308,40(40)
BEN205,3,Ss1,RA 11:20 AM - 12:50 PM,NAC302,40(40)
BEN205,4,ADy,RA 02:40 PM - 04:10 PM,NAC402,40(40)
BEN205,5,ADy,RA 08:00 AM - 09:30 AM,NAC405,40(40)
BEN205,6,ADy,RA 11:20 AM - 12:50 PM,NAC404,40(40)
BEN205,7,AKA1,RA 01:00 PM - 02:30 PM,NAC303,40(40)
BEN205,8,AKA1,RA 02:40 PM - 04:10 PM,NAC401,40(40)
BEN205,9,Ss1,RA 09:40 AM - 11:10 AM,NAC302,40(40)
BEN205,10,Gdd,RA 02:40 PM - 04:10 PM,NAC408,40(40)
BEN205,11,AdK1,RA 09:40 AM - 11:10 AM,NAC404,40(40)
BEN205,12,MKh1,RA 11:20 AM - 12:50 PM,NAC207,40(40)
BEN205,13,HBa,RA 01:00 PM - 02:30 PM,NAC203,35(35)
BEN205,14,TBA,RA 04:20 PM - 05:50 PM,NAC303,40(40)
BEN205,15,HBa,RA 09:40 AM - 11:10 AM,NAC412,40(40)
BEN205,16,HAr1,RA 01:00 PM - 02:30 PM,NAC302,40(40)
BEN205,17,MAz1,RA 08:00 AM - 09:30 AM,NAC309,41(41)
BEN205,18,HAr1,RA 09:40 AM - 11:10 AM,NAC1080,40(40)
BEN205,19,HBa,RA 04:20 PM - 05:50 PM,NAC315,40(40)
BEN205,21,MAz1,RA 09:40 AM - 11:10 AM,NAC403,40(40)
BEN205,22,SB1,RA 09:40 AM - 11:10 AM,NAC601,40(40)
BEN205,23,MBQ,RA 11:20 AM - 12:50 PM,NAC604,40(40)
BEN205,24,DnH,ST 02:40 PM - 04:10 PM,SAC511,39(40)
BEN205,25,MKh1,RA 01:00 PM - 02:30 PM,NAC620,40(40)
BEN205,27,Gdd,RA 09:40 AM - 11:10 AM,NAC620,40(40)
BEN205,28,Rme,MW 02:40 PM - 04:10 PM,NAC414,40(40)
BEN205,29,Rme,MW 01:00 PM - 02:30 PM,SAC511,40(40)
BEN205,30,Rme,ST 02:40 PM - 04:10 PM,SAC207,35(35)
BEN205,31,Rme,ST 01:00 PM - 02:30 PM,NAC619,40(40)
BEN205,32,SAP,RA 01:00 PM - 02:30 PM,SAC312,40(40)
BEN205,33,SAP,RA 11:20 AM - 12:50 PM,NAC303,40(40)
BEN205,34,MBQ,RA 02:40 PM - 04:10 PM,NAC309,40(40)
BEN205,36,SB1,RA 11:20 AM - 12:50 PM,NAC309,40(40)
BEN205,38,Sjj,RA 09:40 AM - 11:10 AM,NAC308,40(40)
BEN205,39,Sjj,RA 11:20 AM - 12:50 PM,NAC308,40(40)
BEN205,40,FrA3,RA 02:40 PM - 04:10 PM,NAC302,40(40)
BEN205,42,CcK,RA 11:20 AM - 12:50 PM,NAC211,40(40)
BEN205,43,FrA3,RA 01:00 PM - 02:30 PM,NAC308,40(40)
BEN205,45,Snj,ST 01:00 PM - 02:30 PM,NAC509,40(40)
